Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longtitude
Civil Service Club (Changi Clubhouse),"2 Netheravon Road, S(508503)","(For Member): \$1.00/hr from 6am to 6pm, (For Public): \$2.40 for 1st hr, \$0.60 for next subsequent 15min from 6am to 6am the following day","(For Member): \$1.80/entry from 6pm to 3am the following day, \$1.50/hr from 3am to 6am (For Public): \$2.40 for 1st hr, \$0.60 for next subsequent 15min from 6am to 6am the following",Charges same as weekdays,Charges same as weekdays,1.391181,103.985639
Ayer Rajah Industrial Estate,Ayer Rajah Crescent,\$1.00/30min from 7am to 6pm,\$1.00/entry from 6pm to 7am the following day,\$1.00/entry from 7am to 7am the following day,\$1.00/entry from 7am to 7am the following day,1.2961175,103.7893216
North Bridge Centre,"420 North Bridge Road, S(188727)",\$1.50/30min from 8am to 4.59pm,\$4.00/entry from 5pm to 11pm,Charges same as weekdays,\$4.00/entry from 8am to 11pm,1.2971802,103.8549507
National Service Resort Country Club (NSRCC),"10 Changi Coast Walk, S(499739)","(For Member): Free, (For Public): \$2.15/entry from 6am to 5pm","(For Member): Free, (For Public): \$2.15/entry from 5pm to 12midnight",\$0.80/30min with max of \$12.80 from 6am to 12midnight,\$0.80/30min with max of \$12.80 from 6am to 12midnight,1.3179033000000002,103.974227
Techpoint,"10 Ang Mo Kio Street 65, S(569059)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 5pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3894792,103.8491637
APS Industrial Building,"49 Jalan Pemimpin, S(577203)",\$1.65/hr from 8am to 4.59pm,\$1.80/entry from 5pm to 7.59am,Charges same as weekdays,Charges same as weekdays,1.3510243999999998,103.84178879999999
Rutherford Building,"89 Science Park Drive, S(118261)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 8am to 5pm","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 5pm to 8am the following day",Closed,Closed,1.288147,103.791239
The Alpha (Science Park II),"10 Science Park Road, S(117684)","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm",Closed,1.2882828000000002,103.7796754
Teletech Park (Basement Car Park),"20 Science Park Road, S(117674)",\$1.20/hr from 8am to 8pm,\$1.20/hr from 8am to 8pm,Closed,Closed,1.2866523,103.7821784
The Aquarius,"21 Science Park Road, S(117628)","\$0.56 for 1st hr, \$1.07 for next subsequent hr from 7.30am to 7.30pm","\$0.56 for 1st hr, \$1.07 for next subsequent hr from 7.30am to 7.30pm",Closed,Closed,1.288665,103.781059
Comcentre / SingTel Building,"31 Exeter Road, S(239732)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.2992667,103.83839240000002
Sea Sports Centre,"11 Changi Coast Walk, S(499740)",Free Parking,Free Parking,Free Parking,Free Parking,1.3163165,103.97742209999998
The Gemini,"41 Science Park Road, S(117610)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm",Closed,Closed,1.2886950000000001,103.78285699999999
Techview,"1 Kaki Bukit View, S(415941)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 10pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 10pm",Charges same as weekdays,Charges same as weekdays,1.3365908000000002,103.9096041
The Aries,"51 Science Park Road, S(117586)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Closed,Closed,1.287031,103.783162
JTC Blk 970 / 998 Toa Payoh North,"970 Toa Payoh North, S(318992)",\$0.60/30min from 7am to 10pm,\$2.00/entry from 10pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day,1.3427684,103.8510012
AMK Autopoint,"10 Ang Mo Kio Industrial Park 2A, S(568047)","\$2.00/entry from 12midnight to 7am, \$0.50 for next subsequent 30min from 7am to 10.30pm",\$2.00/entry from 10.30pm to 12midnight,Charges same as weekdays,"\$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, \$2.00/entry from 10.30pm to 12midnight",1.3769126,103.8688748
Katong Village,"86 East Coast Road, S(428788)",\$1.00/hr from 8am to 5pm,\$1.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3051239,103.9043237
Tagore Industrial Building,"6 Tagore Drive, S(787623)",\$0.51/30min from 8am to 4.59pm,\$2.04/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3865018999999998,103.8267056
Technolink Centre,"430 Chai Chee Road, S(469000)",\$1.00/30min from 8am to 5pm,\$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/entry,1.324336,103.9230117
Westinton Building,"6 Ang Mo Kio Industrial Park 2, S(568012)","\$2.10 for 1st hr, \$1.05 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$3.00/entry from 8am to 8am the following day,1.3716772,103.86379720000001
Luxton Building,10 Sims Drive,"\$2.10 for 1st hr, \$1.05 for next subsequent 30min",\$2.00/entry,\$2.00/entry,\$2.00/entry,1.319272,103.8813627
Advantech Industrial Building,17 Sims Drive,\$1.50/hr,\$1.80/entry,Charges same as weekdays,Closed,1.3123699,103.87506359999999
Edinburg Tower,"18 Edinburg Road, S(909188)","\$2.10 for 1st hr, \$1.05 for next subsequent 30min",\$3.00/entry,Charges same as weekdays,\$3.00/entry,1.3027848999999998,103.8452242
Lam Seng Building,Playfair Road,\$1.20/30min,\$2.00/entry,Charges same as weekdays,Closed,1.3353761,103.8861332
Tong Lee Building,"35 Kallang Pudding Road, S(349314)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min",\$2.00/entry,Charges same as weekdays,Closed,1.3297877,103.87834659999999
Tagore 23 Warehouse,"23 Tagore Lane, S(787601)","\$1.25 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm",\$2.45/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.45/entry from 6.01pm to 7am the following day,1.3851254,103.82816020000001
JTC Blk 3014A / 3015A Ubi Road 1,"3014A Ubi Road 1, S(408703)",\$0.60/30min from 7am to 10pm,\$2.00/entry from 10.01pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day,1.329692,103.893437
Central Square,"20 Havelock Road, S(059765)",\$2.50/hr from 7am to 4.49pm,\$3.575/entry from 5pm to 6.59am the following day,Charges same as weekdays,\$3.75/entry from 7am to 6.59am the following day,1.2882258999999998,103.8432715
West Coast Recreation Centre,"12 West Coast Walk, S(127157)",\$0.50/30min from 6.30am to 6pm,"\$2.00/entry from 6pm to 3am the following day, \$5.00/entry from 3am to 6.30am",Charges same as weekdays,Charges same as weekdays,1.3097324,103.76423670000001
The Cathay,"2 Handy Road, S(229233)","\$1.40/30min from 8am to 9.59pm, \$1.40/hr from 10am to 9.59pm",\$3.00/entry from 10pm to 7.59am the following day,"\$1.40/hr from 8am to 9.59pm, \$3.00/entry from 10.00pm from 7.59am, eve of public holiday","\$1.40/hr from 8am to 9.59pm, \$3.00/entry from 10.00pm from 7.59am, eve of public holiday",1.2993784,103.8478027
Safra Yishun Country Club,"60 Yishun Avenue 4, S(769027)","(For Member): \$0.95/hr, (For Public): \$2.05/hr, from 6am to 5.59pm","(For Member): \$1.90/entry, (For Public): \$4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): \$1.90/entry, (For Public): \$4.00/entry from 6am to 5.59am the following day",1.423708,103.84065
One Fullerton,"1 Fullerton Road, S(049213)",\$2.80/30min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7.00am","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am",1.2858177,103.85398409999999
Parkroyal@Kitchener Road  (Driveway),"181 Kitchener Road, S(208533)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 4.30pm",\$4.00/entry valet parking from 4.30pm to 8am the following day,Charges same as weekdays,Free Parking,1.310676,103.855615
Parkroyal@Kitchener Road (4th Floor),"181 Kitchener Road, S(208533)","\$3.00 for 1st hr, \$0.75 for next subsequent 15min from 7am to 5pm",\$4.90/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.90/entry from 7am to 7am the following day,1.310676,103.855615
Changi Budget Terminal,"30 Airport Boulevard, S(819662)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.3396654,103.98382690000001
Junction 10,"1 Woodlands Road, S(677899)","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 8am to 5pm","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 5pm to 8am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 8am to 8am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 8am to 8am the following day",1.3803861000000002,103.7600777
UE Square,"81 Clemenceau Avenue, S(239917)","\$2.00 for 1st hr, \$1.00 for next subsequent 1hr from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,"\$2.00 for 1st hr, \$1.00 for next subsequent 1hr from 8am to 1pm, \$3.00/entry from 1pm to 7.59am the following day",\$3/entry from 8am to 8am the following day,1.2922525,103.842744
Beauty World Plaza,"140 Upper Bukit Timah Road, S(588176)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 5pm",\$2.40/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day,1.3418257,103.77632840000001
Odeon Towers,"331 North Bridge Road, S(188720)","\$2.20 for 1st hr, \$1.10 for subsequent 30min from 7am to 5pm",\$2.20/entry from 5pm to 7am the following day,"\$2.20 for 1st hr, \$0.90 for subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day","\$2.20 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day",1.2963258,103.85320759999999
NTU Car Park A (North Academic Complex),"50 Nanyang Avenue, S(639798)",\$0.02/min from 8am to 6pm,"\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,1.3477484,103.6828574
NTU Car Park B (South Academic Complex),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,1.3477484,103.6828574
City Plaza,"810 Geylang Road, S(409286)","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 8am to 5pm",\$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/entry from 8am to 8am the following day,1.3148157,103.8934042
Winsland House 1,"3 Killiney Road, S(239519)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day,1.2996608,103.8402777
Winsland House 2,"163 Penang Road, S(238463)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day,1.29974,103.8412054
Bedok Central Blk 207 (Cooked Food Centre),"207 New Upper Changi Road, S(460207)",\$0.50/30min from 7.00am to 10.30pm,\$2.00/entry from 10.30pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,1.324882,103.9302623
Inland Revenue Authority of Singapore (IRAS),"55 Newton Road, S(307987)",\$0.45/15min from 6am to 6pm,\$2.20/entry from 6pm to 6am the following day,"\$0.45/15min from 6am to 1.30pm, \$1.60/entry from 1.30pm to 12midnight",\$1.60/entry from 6am to 12midnight the following day,1.3195226999999998,103.8421656
Bukit Batok Driving Centre (BBDC),"815 Bukit Batok West Avenue 5, S(659085)",\$2.00/hr,\$2.00/hr,Charges same as weekdays,Charges same as weekdays,1.366829,103.75014499999999
Creative Technologies,"31 International Business Park, S(609921)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 7pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 7pm to 8am the following day",Free parking,Free parking,1.3287101000000001,103.74611379999999
Certis CISCO Centre,"20 Jalan Afifi, S(409179)",\$1.60/30min from 7am to 6pm,\$1.20/30min from 6pm to 7am the following day,\$1.00/30min from 7am to 7am the following day,\$1.00/30min from 7am to 7am the following day,1.3224148999999998,103.89208199999999
Singapore Science Centre,"15 Science Centre Road, S(609081)",\$0.60/30min from 7am to 6pm,\$0.60/30min from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3331223,103.7356522
Rivervale Mall,"11 Rivervale Crescent, S(545082)","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm",Charges same as weekdays,Charges same as weekdays,1.3919350000000001,103.9046341
Fook Hai Building,"150 South Bridge Road, S(058727)",\$1.20/30min from 7.30am to 5pm,\$2.50/entry from 5pm to 7.30am,Charges same as weekdays,\$2.50/entry from 7.30am to 7.30am the following day,1.2848926,103.8464557
Marina South Pier (MSP),"31 Marina Coastal Drive, S(018988)","\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7am to 10.30pm",\$3.00/entry from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2709631000000001,103.8632483
China Square Central,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,\$3.00/entry from 6am to 8am the following day,\$3.00/entry from 8am to 5.59am the following day,1.2835702,103.8468829
Marsh and McLennan Centre,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day",1.2835702,103.8468829
China Court,"20 Cross Street, S(048422)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day",1.2836889,103.8474883
South Bridge Court,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day",1.2835702,103.8468829
Nankin Row,"3 Pickering Street, S(048660)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day",1.2848893999999997,103.8476821
Great Eastern Centre,"1 Pickering Street, S(048659)",\$1.80/30min from 8am to 6pm,\$3.30/entry from 6pm to 7.59am the following day,\$3.30/entry from 6am to 8am the following day,\$3.30/entry from 8am to 5.59am the following day,1.2847751,103.8474319
Riverside Point,"30 Merchant Road, S(058282)","\$2.30 for 1st hr, \$1.00 for next subsequent 30min from 6am to 5pm",\$3.50/entry from 5pm to 6am the following day,Charges same as weekdays,\$3.50/entry from 6am to 6am the following day,1.2893155,103.8442642
Shaw Leisure Gallery,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.14/entry from 5pm to 12midnight,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,1.2966205,103.85689090000001
Atrium @ Orchard,"60 Orchard Road, S(238889)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, \$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm on Fri an","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.2995946000000003,103.8452489
Safra Mount Faber,"2 Telok Blangah Way, S(098803)","(For Member): \$1.25/hr, \$0.32 for next subsequent 15min (For Public): \$2.30/hr, \$0.58 for next subsequent 15min from 6am to 5.59pm","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6pm to 6am the following day","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6am to 5.59am the following day","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6am to 5.59am the following day",1.2774604999999999,103.817219
Singapore Botanic Gardens ,"1 Cluny Road, S(259569)","Free parking from 5am to 7am, \$0.02/min from 7am to 10.30pm.",\$0.02/min up to a maximum cap of \$2.00 for entry between 7pm to 10.30pm. Free parking from 10.30pm to 12midnight,Charges same as weekdays,Charges same as weekdays,1.3151016000000002,103.8161925
Ministry of Education Building (MOE),"1 North Buona Vista Drive, S(138675)","\$1.50/hr, \$2.50 for next subsequent hr from 8am to 5pm","\$1.50/hr, \$2.50 for next subsequent hr from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3053331,103.7908638
Changi Ferry Terminal,"30 Changi Ferry Road, S(499675)",Free Parking,Free Parking,Free Parking,Free Parking,1.3730551000000002,104.0080234
Rochor Centre,"1 Rochor Road, S(180001)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.302557,103.85486850000001
Young Men's Christian Association Of Singapore (YMCA),"1 Orchard Road, S(238824)",\$2.00/hr from 7am to 6pm,\$4.00/entry from 6pm to 12midnight the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day,1.2976348,103.8479932
PWC Building,"8 Cross Street, S(048424)",\$2.60/30min from 6am to 6pm,\$3.20/entry from 6pm to 6am the following day,"\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm","\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm",1.2824608,103.8490282
Mandarin Orchard Singapore,"333 Orchard Road, S(238867)","\$3.50 for 1st hr, \$0.05 for next subsequent min from 6am to 6pm","\$3.50 for 1st hr, \$0.05 for next subsequnet min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,1.3022077,103.836443
Civil Service College,"31 North Buona Vista Road, S(275983)","\$1.50/hr for the 1st 5hr, \$9.00/entry for parking more than 5 hr",\$1.00/hr from 6pm to 10.30pm,"\$1.50/hr from 8am to 1pm, \$1.00/hr from 1pm to 10.30pm",Closed,1.3096555,103.7917858
Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, S(729826)","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm",Charges same as weekdays,Charges same as weekdays,1.4049843000000002,103.7905489
Noel Corporate Building,"50 Kallang Avenue, S(339505)","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 8am to 5pm","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3128722,103.8668109
Hougang Green Shopping Mall,"21 Hougang Street 51, S(538719)","\$1.07 for 1st hr, \$0.55 for next subsequent 30min from 7am to 4.59pm",\$1.20/entry from 5pm to 6.59am the following day,Charges same as weekdays,"\$2.15/entry from 7am to 12midnight, \$1.20/entry from 12midnight to 6.59am the following day",1.3792941,103.8878182
Camden Medical Centre,"1 Orchard Boulevard, S(248649)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,"\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 1pm, \$4.00/entry from 1pm to 3am the following day",\$4.00/entry from 3am to 3am the following day,1.3031883999999998,103.8238087
PIL Building,"140 Cecil Street, S(069540)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.2804799999999998,103.8484555
VivoCity,"1 HarbourFront Walk, S(098585)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 6pm","\$3.00/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am the following day","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm, \$3.50/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm, \$3.50/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am",1.2642787,103.8221577
MCYS Building,"512 Thomson Road, S(298136)",\$0.80/30min from 7.30am to 6pm,\$1.60/entry from 6.01pm to 7.30am the following day,"\$1.60/entry from 7.30am to 12midnight, \$2.00/entry from 12midnight to 7.30am the following day","\$1.60/entry from 7.30am to 12midnight, \$2.00/entry from 12midnight to 7.30am the following day",1.333665,103.839502
IKEA Tampines,"60 Tampines North Drive 2, S(528764)",Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,1.374183,103.932748
Ministry of Manpower (MOM),"18 Havelock Road, S(059764)",Not for public,Not for public,Not for public,Not for public,1.2875548,103.844374
Kovan Centre,"9 Yio Chu Kang Road, S(545523)",*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*,1.3546912,103.87694640000001
Quality Hotel Singapore ,"201 Balestier Road, S(329926)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 5pm",\$2.80/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.80/entry from 7am to 7am the following day,1.3200773000000001,103.8525296
HomeTeamNS Bukit Batok,"2 Bukit Batok West Ave 7, S(659003)","(For Member): \$0.90/hr, (For Public): \$1.20/hr from 8am to 5pm","(For Member): \$1.60/entry, (For Public): \$3.20/entry from 5pm to 1am the following day",Charges same as weekdays,"(For Member): \$1.60/entry, (For Public): \$3.20/entry from 8am to 1am the following day",1.3657241000000002,103.74898909999999
St. James Power Station,"3 Sentosa Gateway, S(098544)",\$2.00/hr from 7am to 5pm from Mon to Thurs,"\$4.00/entry for 1st 5hr, \$2.00 for subsequent hr from 5pm to 7am the following day from Mon to Thurs 5.01pm to 10.30pm, \$2.00/entry for subsequent hr","\$2.00/hr from 7am to 5pm, \$7.00/entry for 1st 5hr, \$2.00 for for subsequent hr from 5pm to 7am the following day from Fri to Sat","\$2.00/hr from 7am to 5pm, \$4.00/entry for 1st 5hr, \$2.00 for subsequent hr from 5pm to 7am the following day",1.2647069,103.8248677
NTU SBS Car Park (School of Biological Sciences),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,1.3477484,103.6828574
Changi Airport Terminal 2,"60 Airport Boulevard, S(819643)",\$0.04/min from 12midnight to 12midnight the following day,\$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,1.3550934,103.9890246
Haw Par Villa,"262 Pasir Panjang Road, S(118628)",\$5.00/entry from 9am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Charges same as weekdays,1.285506,103.7831439
Singapore Godown,"25 Tagore Lane, S(787602)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 11pm",\$2.40/entry from 11pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day,1.3861495000000001,103.8288204
Singapore Discovery Centre (SDC),"510 Upper Jurong Road, S(638365)",Free Parking,Free Parking,Free Parking,Free Parking,1.332714,103.67892900000001
Square 2,"10 Sinaran Drive, S(307506)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7am to 6pm",\$2.50/entry from 6pm to 7am the following day,Charges same as Weekdays,"\$2.20 for 1st 4hr, \$1.10 for next subsequent 30min from 7am to 6pm, \$2.50/entry from 6pm to 7am the following day",1.3206356000000001,103.844392
Red Dot Design Museum,"28 Maxwell Road, S(069120)","\$2.50/hr from 7am to 4.59pm, \$0.65 for next subsequent 15min",\$3.60/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.60/entry from 7am to 6.59am the following day,1.2782482,103.845625
IBM Place 1,"9 Changi Business Park Central 1, S(486048)",*,*,*,*,1.3365545,103.9652132
IOI Plaza Singapore,"210 Middle Road, S(188994)",\$0.04/min from 8am to 5pm,\$0.02/min from 5pm to 8am the following day,Charges same as weekdays,\$0.02/min from 8am to 8am the following day,1.3013422,103.85144179999999
AMK Hub,"53 Ang Mo Kio Avenue 3, S(569933)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 7am the following day","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.75 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.75 for next subsequent 30min from 7am to 7am the following day",1.3693528,103.8483592
The Signature (Changi Business Park),"51 Changi Business Park Central 2, S(486066)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10.01pm to 6.59pm,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day,1.3347257,103.9651184
The Strategy (International Business Park),"2 International Business Park, S(609930)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10pm to 7am,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day,1.3302368999999998,103.7471961
The Synergy (International Business Park),"1 International Business Park, S(609917)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10.01pm to 7am,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day,1.3289886,103.7486483
Kembangan Plaza,"18 Jalan Masjid, S(418944)",\$1.70/hr from 8am to 5pm,"\$2.70/entry from 5.01pm to 10pm, \$3.20/entry from 10.01pm to 7.59am the following day",Charges same as weekdays,"\$2.70/entry from 8am to 10pm, \$3.20/entry from 10.01pm to 7.59am the following day",1.3203664,103.9126441
NUS Car Park 3 - Yong Siew Toh Conservatory of Music,Estate Office Drive,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$2.568 for vehicles entering from 8.30am to 6pm and \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,1.301769,103.7738214
NUS Bukit Timah Campus,"469G Bukit Timah Road, S(259776)","*\$0.02/min from 7am to 10.30pm, maximum charge of \$2.00 for vehicles entering from 7pm to 10.30pm, 1st hr free parking for vehicles entering from 11am to 5pm",*Free parking from 10.31pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,1.318318,103.816878
Jurong Bird Park,"2 Jurong Hill, S(628925)","\$2.00/entry from 8am to 5pm, Free parking from 5pm to 7.59am the following day","\$2.00/entry from 8am to 5pm, Free parking from 5pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,1.3180714,103.7068176
