Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude_rad,Longitude_rad,Coord_rad
Sembawang Shopping Centre,"604 Sembawang Road, S(758459)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm",0.025164368340093734,1.812087392515424,"(0.025164368340093734, 1.8120873925154239)"
Sentosa - Beach Station,Beach View Road,\$0.02/min from 7am to 5pm,\$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,0.025319510657303507,1.8114638020816498,"(0.025319510657303507, 1.8114638020816498)"
SGX Centre,"2 Shenton Way, S(068804)",\$2.50/30min from 7am to 5pm,\$3.00/entry from 5pm to 10pm,\$3.00/entry from 7am to 10pm,\$3.00/entry from 7am to 10pm,0.022335908698262744,1.8125257476650256,"(0.022335908698262744, 1.8125257476650256)"
Shangri-La Hotel,"22 Orange Grove Road, S(258350)","\$6.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$8.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,0.022885909069455965,1.8121191801970906,"(0.022885909069455965, 1.8121191801970906)"
Shaw Centre,"1 Scotts Road, S(228208)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,0.022794596933650126,1.8122122219541852,"(0.022794596933650126, 1.8122122219541852)"
Shaw House,"350 Orchard Road, S(238868)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,0.02278934174727237,1.8122007324517193,"(0.02278934174727237, 1.8122007324517193)"
Shaw Plaza,"352 Balestier Road, S(329780)","\$1.04 for 1st hr, \$0.53 for next subsequent 30min from 8am to 4.59pm",\$2.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,0.02311971512138238,1.8125437315376383,"(0.023119715121382379, 1.8125437315376383)"
Shaw Towers,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.20/entry from 5pm to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,0.022630296873855135,1.812644697089537,"(0.022630296873855135, 1.8126446970895369)"
Shenton House,"3 Shenton Way, S(068805)",\$3.00/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"Charges same as weekdays, but \$3.00/entry after 2pm",\$3.00/entry from 8am to 8am the following day,0.022316584412784668,1.8125267233040776,"(0.022316584412784668, 1.8125267233040776)"
Sheraton Towers Singapore,"39 Scotts Road, S(228230)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$6.00/entry from 7am to 7am the following day,0.022897354938690544,1.8122871297403516,"(0.022897354938690544, 1.8122871297403516)"
Singapore Institute of Architects (SIA),"79 Neil Road, S(088904)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,0.022326059805293744,1.8123868438911765,"(0.022326059805293744, 1.8123868438911765)"
Siglap Centre,"55 Siglap Road, S(455871)",\$0.82/30min from 8am to 5pm,\$0.82/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,0.022909436107772848,1.8138015222617099,"(0.022909436107772848, 1.8138015222617099)"
Sim Lim Square,"1 Rochor Canal Road, S(188504)",\$0.06/min form 3am to 6pm,\$2.14/entry from 6.00pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,0.022742395881052226,1.8125754057729035,"(0.022742395881052226, 1.8125754057729035)"
Sim Lim Tower,"10 Jalan Besar, S(208787)",\$1.60/30min from 8.30am to 6pm,\$1.60/30min from 6pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,0.022754847059935957,1.8126041653083178,"(0.022754847059935957, 1.8126041653083178)"
Singapore Conference Hall,"7 Shenton Way, S(068810)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,0.02227505604856271,1.812508212342031,"(0.022275056048562711, 1.8125082123420311)"
Singapore Expo,"1 Expo Drive, S(486150)","\$3.20 for 1st 2hr, \$1.50 for next subsequent 30min","\$3.20 for 1st 2hr, \$1.50 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,0.023277206651765338,1.8144269295832354,"(0.023277206651765338, 1.8144269295832354)"
Singapore General Hospital (SGH),"1 Hospital Drive, S(169608)","\$2.16/hr for Carpark C from 7am to 9.59pm, \$1.20/hr for Carpark H from 7am to 9.59pm",\$2.14/entry from 10pm to 6.59am the following day for Carpark C and H.,Charges same as weekdays,"\$2.14/hr from 7.00am to 9:59pm, \$2.14/entry from 10pm to 6.59am the following day for Carpark C and H, \$2.14/entry from 7am to 6:59am the following day for Carpark H",0.022331431928731382,1.812256158872775,"(0.022331431928731382, 1.812256158872775)"
Singapore Management University (SMU),"50 Stamford Road, S(178899)","\$2.40/hr from 12midnight to 10.59am, \$3.00/hr from 11am to 1.59pm, \$2.40/hr from 2pm to 5.59pm",\$3.00/entry from 6pm to 11.59pm,"\$2.40/hr from 12midnight to 5.59pm, \$3.00/entry from 6pm to 11.59pm","\$2.40/hr from 12midnight to 5.59pm, \$3.00/entry from 6pm to 11.59pm",0.022599675072128893,1.8125289485988738,"(0.022599675072128893, 1.8125289485988738)"
SingPost Centre,"10 Eunos Road 8, S(408600)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 1pm, \$2.50/entry from 1pm to 6am the following day",\$2.50/entry from 6am to 6am the following day,0.023017663974689014,1.8133038817680762,"(0.023017663974689014, 1.8133038817680762)"
